Accuracy,Neurons
0.885496183206, 8
0.907124681934, 8
0.909669211196, 8
0.905852417303, 8
0.893129770992, 8
0.889312977099, 8
0.905852417303, 8
0.885496183206, 8
0.889312977099, 8
0.913486005089, 8
0.904580152672, 12
0.916030534351, 12
0.91475826972, 12
0.923664122137, 12
0.907124681934, 12
0.913486005089, 12
0.908396946565, 12
0.928753180662, 12
0.918575063613, 12
0.905852417303, 12
0.917302798982, 16
0.930025445293, 16
0.91475826972, 16
0.930025445293, 16
0.917302798982, 16
0.931297709924, 16
0.918575063613, 16
0.922391857506, 16
0.922391857506, 16
0.924936386768, 16
0.918575063613, 20
0.926208651399, 20
0.924936386768, 20
0.926208651399, 20
0.930025445293, 20
0.930025445293, 20
0.931297709924, 20
0.926208651399, 20
0.927480916031, 20
0.927480916031, 20
0.928753180662, 25
0.926208651399, 25
0.924936386768, 25
0.927480916031, 25
0.926208651399, 25
0.927480916031, 25
0.931297709924, 25
0.921119592875, 25
0.922391857506, 25
0.927480916031, 25
0.923664122137, 30
0.935114503817, 30
0.924936386768, 30
0.930025445293, 30
0.930025445293, 30
0.923664122137, 30
0.936386768448, 30
0.927480916031, 30
0.926208651399, 30
0.924936386768, 30
