y
66
96
50
66
60
60
78
66
56
50
60
44
48
54
38
58
58
52
44
50
50
50
48
44
48
54
38
44
44
54
44
44
52
58
50
48
48
50
54
50
54
38
50
44
44
44
38
38
44
38
38
44
50
54
44
50
44
38
44
44
44
50
38
44
38
38
44
38
44
38
44
44
44
44
44
44
38
50
44
38
44
44
44
44
44
44
44
44
44
44
44
38
38
38
44
44
38
44
38
50
44
44
38
38
44
44
44
44
38
44
44
44
44
38
38
44
50
44
38
38
38
44
38
44
38
44
38
44
44
44
44
44
44
50
44
44
38
44
44
44
38
44
44
38
44
38
38
38
44
38
38
44
44
44
38
38
38
44
44
38
44
44
44
44
44
48
44
44
44
38
44
44
38
44
38
44
44
44
44
38
38
44
44
44
44
44
38
38
38
38
38
44
44
38
38
44
38
38
44
38
44
44
44
44
38
38
44
38
38
38
38
38
38
38
44
38
44
44
44
44
38
38
38
38
44
38
38
44
44
44
38
38
44
44
38
44
38
38
44
38
38
44
38
44
38
44
38
38
38
38
38
38
44
38
44
44
44
38
38
38
38
44
44
44
44
38
44
38
38
38
38
38
44
38
44
38
38
44
44
44
38
38
38
44
38
44
38
38
38
38
44
38
38
38
38
38
44
38
38
38
38
38
44
38
38
38
44
38
38
38
38
38
38
44
44
44
38
38
38
44
44
38
44
38
44
38
38
38
38
44
44
38
38
38
44
38
38
38
38
38
38
44
38
38
44
38
38
44
38
44
44
44
38
38
38
38
44
38
38
38
38
38
38
38
44
38
44
38
38
38
38
44
38
38
38
44
38
38
44
38
38
44
38
38
38
38
44
44
38
44
44
38
38
38
38
38
38
38
38
44
44
38
38
38
38
38
38
38
44
38
38
38
38
38
38
44
38
44
38
38
38
38
44
38
38
38
38
38
38
38
38
38
38
38
38
38
44
44
38
38
38
38
38
38
38
38
44
38
38
38
38
38
38
44
38
38
38
38
38
38
38
38
44
38
38
38
38
38
38
38
38
38
38
44
38
38
38
38
38
38
38
38
38
38
38
38
38
44
38
38
38
38
38
38
38
38
38
38
38
38
